repositorio,url,state,tamanho,tempoDeAnalise,descricao,interacoes
spaCy,https://github.com/explosion/spaCy/pull/2,MERGED,1,0,246,0
spaCy,https://github.com/explosion/spaCy/pull/3,MERGED,1,0,360,0
spaCy,https://github.com/explosion/spaCy/pull/4,CLOSED,1,19,309,0
spaCy,https://github.com/explosion/spaCy/pull/5,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/6,MERGED,1,0,186,0
spaCy,https://github.com/explosion/spaCy/pull/8,CLOSED,1,4947,0,0
spaCy,https://github.com/explosion/spaCy/pull/21,MERGED,1,83,93,0
spaCy,https://github.com/explosion/spaCy/pull/33,CLOSED,2,370,0,0
spaCy,https://github.com/explosion/spaCy/pull/34,MERGED,1,2538,14,0
spaCy,https://github.com/explosion/spaCy/pull/55,MERGED,94,31,0,0
spaCy,https://github.com/explosion/spaCy/pull/66,CLOSED,7,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/73,CLOSED,1,1221,0,0
spaCy,https://github.com/explosion/spaCy/pull/85,MERGED,3,380,600,0
spaCy,https://github.com/explosion/spaCy/pull/86,MERGED,2,0,127,0
spaCy,https://github.com/explosion/spaCy/pull/99,MERGED,1,151,50,0
spaCy,https://github.com/explosion/spaCy/pull/101,MERGED,5,1,493,0
spaCy,https://github.com/explosion/spaCy/pull/104,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/107,MERGED,5,7,118,0
spaCy,https://github.com/explosion/spaCy/pull/110,CLOSED,5,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/111,MERGED,6,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/117,MERGED,10,224,374,0
spaCy,https://github.com/explosion/spaCy/pull/126,MERGED,4,89,175,0
spaCy,https://github.com/explosion/spaCy/pull/127,CLOSED,1,66,0,0
spaCy,https://github.com/explosion/spaCy/pull/129,MERGED,2,7,223,0
spaCy,https://github.com/explosion/spaCy/pull/133,MERGED,1,0,144,0
spaCy,https://github.com/explosion/spaCy/pull/135,MERGED,1,9,0,0
spaCy,https://github.com/explosion/spaCy/pull/136,MERGED,1,0,43,0
spaCy,https://github.com/explosion/spaCy/pull/137,MERGED,2,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/138,MERGED,8,27,314,0
spaCy,https://github.com/explosion/spaCy/pull/140,CLOSED,2,603,210,0
spaCy,https://github.com/explosion/spaCy/pull/143,MERGED,4,0,171,0
spaCy,https://github.com/explosion/spaCy/pull/145,MERGED,1,47,0,0
spaCy,https://github.com/explosion/spaCy/pull/147,MERGED,3,23,1152,0
spaCy,https://github.com/explosion/spaCy/pull/148,MERGED,3,12,8,0
spaCy,https://github.com/explosion/spaCy/pull/149,MERGED,4,22,67,0
spaCy,https://github.com/explosion/spaCy/pull/150,MERGED,1,29,0,0
spaCy,https://github.com/explosion/spaCy/pull/151,MERGED,7,4,123,0
spaCy,https://github.com/explosion/spaCy/pull/153,MERGED,1,14,0,0
spaCy,https://github.com/explosion/spaCy/pull/159,CLOSED,4,0,198,0
spaCy,https://github.com/explosion/spaCy/pull/161,MERGED,4,7,87,0
spaCy,https://github.com/explosion/spaCy/pull/167,CLOSED,5,16,506,0
spaCy,https://github.com/explosion/spaCy/pull/168,CLOSED,4,45,254,0
spaCy,https://github.com/explosion/spaCy/pull/173,MERGED,1,255,540,0
spaCy,https://github.com/explosion/spaCy/pull/180,MERGED,1,326,0,0
spaCy,https://github.com/explosion/spaCy/pull/181,MERGED,1,91,0,0
spaCy,https://github.com/explosion/spaCy/pull/185,MERGED,4,16,0,0
spaCy,https://github.com/explosion/spaCy/pull/186,MERGED,20,232,0,0
spaCy,https://github.com/explosion/spaCy/pull/189,MERGED,1,105,0,0
spaCy,https://github.com/explosion/spaCy/pull/190,MERGED,2,93,0,0
spaCy,https://github.com/explosion/spaCy/pull/195,MERGED,1,1,0,0
spaCy,https://github.com/explosion/spaCy/pull/198,MERGED,4,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/200,MERGED,22,235,0,0
spaCy,https://github.com/explosion/spaCy/pull/202,MERGED,24,491,0,1
spaCy,https://github.com/explosion/spaCy/pull/207,MERGED,10,338,1554,5
spaCy,https://github.com/explosion/spaCy/pull/209,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/210,MERGED,3,15,202,0
spaCy,https://github.com/explosion/spaCy/pull/215,MERGED,3,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/222,MERGED,12,43,730,0
spaCy,https://github.com/explosion/spaCy/pull/223,MERGED,18,22,478,0
spaCy,https://github.com/explosion/spaCy/pull/224,MERGED,22,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/234,MERGED,3,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/240,CLOSED,27,187,0,0
spaCy,https://github.com/explosion/spaCy/pull/248,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/249,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/255,MERGED,2,2,0,0
spaCy,https://github.com/explosion/spaCy/pull/263,MERGED,6,117,0,0
spaCy,https://github.com/explosion/spaCy/pull/265,MERGED,10,339,275,0
spaCy,https://github.com/explosion/spaCy/pull/275,MERGED,4,10,0,0
spaCy,https://github.com/explosion/spaCy/pull/278,MERGED,1,0,0,0
spaCy,https://github.com/explosion/spaCy/pull/280,MERGED,20,1,217,0
spaCy,https://github.com/explosion/spaCy/pull/282,MERGED,6,100,683,0
spaCy,https://github.com/explosion/spaCy/pull/284,MERGED,5,355,309,0
spaCy,https://github.com/explosion/spaCy/pull/286,MERGED,1,0,43,0
spaCy,https://github.com/explosion/spaCy/pull/287,MERGED,4,317,546,0
spaCy,https://github.com/explosion/spaCy/pull/296,MERGED,1,32,0,0
spaCy,https://github.com/explosion/spaCy/pull/305,MERGED,8,48,0,0
spaCy,https://github.com/explosion/spaCy/pull/306,MERGED,16,336,1062,0
spaCy,https://github.com/explosion/spaCy/pull/307,MERGED,2,107,196,0
spaCy,https://github.com/explosion/spaCy/pull/312,MERGED,7,433,937,0
spaCy,https://github.com/explosion/spaCy/pull/329,MERGED,1,9,254,0
spaCy,https://github.com/explosion/spaCy/pull/346,MERGED,3,91,61,0
spaCy,https://github.com/explosion/spaCy/pull/357,MERGED,1,0,101,0
spaCy,https://github.com/explosion/spaCy/pull/358,MERGED,2,6,111,0
spaCy,https://github.com/explosion/spaCy/pull/359,MERGED,8,17,215,0
spaCy,https://github.com/explosion/spaCy/pull/363,CLOSED,9,4085,307,0
spaCy,https://github.com/explosion/spaCy/pull/384,MERGED,1,0,162,0
spaCy,https://github.com/explosion/spaCy/pull/385,MERGED,1,0,12,0
spaCy,https://github.com/explosion/spaCy/pull/386,MERGED,1,13,261,0
spaCy,https://github.com/explosion/spaCy/pull/422,MERGED,1,192,79,0
spaCy,https://github.com/explosion/spaCy/pull/447,MERGED,1,822,67,0
spaCy,https://github.com/explosion/spaCy/pull/454,MERGED,1,0,682,0
spaCy,https://github.com/explosion/spaCy/pull/465,MERGED,1,252,147,0
spaCy,https://github.com/explosion/spaCy/pull/501,MERGED,1,7,109,0
spaCy,https://github.com/explosion/spaCy/pull/526,MERGED,1,14,373,0
spaCy,https://github.com/explosion/spaCy/pull/528,MERGED,3,4998,1445,3
spaCy,https://github.com/explosion/spaCy/pull/529,CLOSED,1,0,354,0
spaCy,https://github.com/explosion/spaCy/pull/538,MERGED,1,1,290,0
spaCy,https://github.com/explosion/spaCy/pull/540,MERGED,1,0,257,0
spaCy,https://github.com/explosion/spaCy/pull/545,MERGED,1,0,115,0
spaCy,https://github.com/explosion/spaCy/pull/551,MERGED,1,0,355,0
